ID,Year,Field,Depth,ECe,Ward ECe,ECpw,BulkD,ssatGWC,PasteGWC,Na,Ca,Mg,K,HCO3,SO4,Cl,NO3,CaCO3,Gypsum,PasteGaponCaMg,PasteGaponCaNa,PasteGaponCaK,CEC,change_Na,change_Ca,change_Mg,change_K,change_HCO3,change_SO4,change_Cl,change_NO3
32,2017,DL3,60,5.67,5.67,8.56,1.570473419,0.22840773,0.62922872,37.70931318,30.42634996,27.67325635,0.333379628,35.88593292,54.98361453,5.222850575,0.049901099,213.4164618,8.412008,0.24847362,5.275285476,0.323707052,54.6,67.80256821,29.17893038,50.40488993,0.281818814,52.29356752,82.98307041,11.33149974,1.060069667
33,2017,DL3,120,5.5,5.5,10.04,1.440953253,0.290138549,0.630835919,37.38714625,28.18128729,25.54398305,0.256333595,33.96866909,53.76000745,3.092134456,0.54793918,148.5122794,47.54732267,0.282098398,2.73385474,0.237640621,51.3,88.88763163,25.52679852,49.71749953,0.563799692,53.08346535,100.3393256,11.27293648,0
34,2019,DL0,15,6.56,#N/A,7.52,1.534863655,0.348794517,0.703296703,40.95252099,23.4929249,21.72139187,1.125948859,1.984665724,79.01331187,4.882321329,1.412487792,161.6,19.86,0.350893016,3.328054165,0.328149701,51,55.67626431,20.95143097,28.09206029,1.281124178,0.058996151,24.74785713,4.985105589,76.20892088
35,2019,DL0,100,10.09,#N/A,13.89,1.621652104,0.272738109,0.621456764,92.21891043,20.37347507,33.49690264,0.563131441,1.360790868,135.1454372,8.948025258,1.198166301,95.6,46.08,0.256162536,6.34912037,0.562949612,41.2,123.9205147,21.52418807,55.0026492,0.640154507,0.050805857,36.12278943,21.73118524,143.182726
36,2019,DL0 Mid,50,10.34,#N/A,30.9,1.614695778,0.314585458,0.730354391,94.75513814,21.2257974,33.73050065,1.151517637,1.738537347,138.1294012,8.989893049,2.00512235,172.2,41.33,0.235418561,6.101935562,0.565289617,56.4,387.3726415,31.57182145,156.8646579,2.943827458,23.08793881,496.4547992,56.06567222,3.14453083
37,2019,DL0 Mid,100,12.81,#N/A,13.96,1.621652104,0.264874953,0.643383436,122.3724421,20.01308911,36.2392348,0.819171947,1.475192304,164.9876286,12.20392145,0.777195617,105.4,47.35,0.243016884,8.769182607,0.863420349,41.2,189.1919113,30.09499165,90.88949138,1.100582472,0.11473255,283.1788585,27.27028724,0.713098488
38,2019,DL2,15,1.242,#N/A,2.2,1.523932286,0.328947368,0.708788983,4.286991459,7.181449847,3.471044754,0.561481411,2.258635341,12.49900699,0.62202774,0.121297511,121,3.82,0.391584336,3.18205169,0.271664859,36.9,8.54593661,15.4630338,7.531776457,1.184338552,0,19.41649994,1.764016924,11.54456855
39,2019,DL2 Mid,15,1.884,#N/A,2.58,1.523932286,0.317061974,0.705391719,8.076418565,11.10632076,5.750853935,0.536817489,2.110853075,22.29209865,0.9604756,0.106983611,111.4,2.35,0.376219992,5.082968904,0.21998913,36.9,10.79631685,17.7430231,9.273940633,0.937379541,0,21.68324777,2.884994315,14.18241803
40,2019,DL2 Mid,50,4.52,#N/A,7.1,1.295532914,0.257566938,0.630976238,24.13779294,23.05808129,17.37051297,0.230358639,1.986468796,60.7257055,1.720831609,0.363740229,57.2,2.82,0.420112378,2.345656578,0.098234702,41,83.60681697,29.24740804,39.01219087,1.619121908,0,65.51242758,13.67158078,74.30152943
41,2019,DL2 Mid,100,5.38,#N/A,7.85,1.454700279,0.251454697,0.625343272,31.33700797,23.16480778,20.94753987,0.281578338,1.180471036,70.9746332,3.411832412,0.16399755,159.2,100.11,0.319344661,3.247608721,0.129296236,36.9,61.71008358,28.00075004,28.22624942,0.846459713,0.003277961,42.0759179,16.67898614,60.0253583
42,2019,XHI,15,8.67,#N/A,25.7,1.534863655,0.394204232,0.693005671,64.84053254,23.737883,25.69641952,1.100535481,2.016909947,96.48437281,13.6489257,3.225162079,138,6.68,0.322648536,5.492001407,0.333742688,51,288.6387649,30.79237054,127.7499676,2.714648283,29.28897492,363.8797552,55.30841823,1.418602943
43,2019,XHI,50,13.54,#N/A,27.9,1.614695778,0.291730537,0.684782609,126.1174423,21.33995451,41.00160326,1.407730988,1.557394797,172.706136,13.3779365,2.225263782,157.6,50.69,0.212885704,8.404286716,0.72640349,56.4,327.836695,31.43006404,135.3264539,3.174278438,24.7072086,414.582307,54.20688228,4.271093571
44,2019,XHI,100,15.92,#N/A,25.1,1.621652104,0.315343613,0.675247525,156.7375832,21.23100802,44.42472717,1.228661983,1.704835447,199.4797265,20.54763028,1.889788429,127.4,22.37,0.224375618,11.57039565,1.317609619,41.2,247.4700425,20.06256482,81.23010168,1.049841854,0.398162695,53.44465423,44.79226022,251.1774598
45,2019,DL1,15,1.916,#N/A,3.59,1.36062425,0.241848686,0.632102729,5.901511257,11.58036794,5.316930385,0.536474783,2.139414056,13.73203488,1.849878121,5.61395731,125,3.16,0.320199022,7.59400596,0.224697894,35.7,17.50510666,23.83586377,12.89360508,0.667194793,1.845094582,21.74253552,4.683087649,26.63105255
46,2019,DL0,15,3.6,#N/A,5.29,1.534863655,0.394906187,0.629546726,11.59505856,28.20705512,13.58265022,0.716582114,1.738658414,49.84510222,2.453413581,0.064171798,161.6,19.86,0.490474257,0.794363357,0.178232482,51,40.98395086,21.97691899,24.28564522,1.126065629,5.219381508,79.89624298,3.214174718,0.042780496
47,2019,DL0,100,8.86,#N/A,10.74,1.621652104,0.33811389,0.576729393,77.81157609,21.22020024,29.75571967,0.537535114,1.114811388,118.8734223,8.58088347,0.755913989,95.6,46.08,0.278326962,5.102291378,0.513781583,41.2,97.27377915,20.47476009,44.55347276,0.691071538,8.67524275,134.8565389,18.49135241,0.96994771
48,2019,DL0 Mid,100,10.45,#N/A,15.86,1.621652104,0.329804488,0.583074051,99.74097811,21.5724855,29.18989479,0.511941936,1.295200887,138.6285048,10.2500896,0.841505032,159.2,47.35,0.282398683,6.715034363,0.499188922,41.2,150.9978608,23.68236442,67.89504562,0.511981323,13.84708815,209.6341147,19.60604935,0
49,2019,DL2,15,3.08,#N/A,1.825,1.523932286,0.440732465,0.720203488,14.35285544,19.49785483,9.616741081,0.588452037,1.839250415,40.53718254,1.636688489,0.042781939,161.6,3.82,0.382819921,7.297018696,0.19583341,36.9,9.631974974,9.275455725,6.142752408,0.689831694,7.216596447,16.91681448,1.556686262,0.049917613
50,2019,DL2,100,1.706,#N/A,7.77,1.454700279,0.325239878,0.637168142,9.193137596,7.856091505,4.690727508,0.306857589,2.39936023,18.51981627,0.706253039,0.421384689,95.6,4.14,0.400076076,1.396507073,0.202336005,36.9,53.98910979,22.32476395,29.0567485,0.332833605,11.72741575,87.25623962,6.691280702,0.028519761
51,2019,DL2 Mid,15,1.562,#N/A,1.667,1.523932286,0.469341925,0.697058824,5.12567698,10.26113998,4.855664923,0.460083019,2.313841943,17.56203466,0.791033656,0.035654644,111.4,2.35,0.394781107,3.265024135,0.191855278,36.9,7.161913541,9.675500672,5.543132268,0.536384998,7.938858585,13.83835185,1.132590648,0.007130232
52,2019,DL2 Mid,50,1.046,#N/A,9.28,1.295532914,0.297776667,0.693674699,4.275143699,5.519186747,2.796396956,0.382505354,2.718987767,9.630115065,0.595600555,0.028529368,57.2,2.82,0.525396095,0.702895096,0.27088989,41,78.3893834,27.40767418,40.08890142,0.332772797,11.83640979,122.2031823,12.15061951,0.028520208
53,2019,DL2 Mid,100,4.8,#N/A,7.08,1.454700279,0.330395051,0.68,27.4722782,22.46227175,17.67323869,0.230355777,1.427755517,64.88485459,1.297327575,0.228206736,159.2,100.11,0.34356309,2.859390376,0.104733967,36.9,49.86867633,23.48961598,22.3330086,0.409582393,10.30414936,72.28400457,13.51272845,0
54,2019,XHI,100,11.37,#N/A,24.5,1.621652104,0.301472914,0.593667546,108.6454419,20.17990225,31.06207997,0.614349708,1.426210776,144.5010893,13.46202295,1.112450834,127.4,22.37,0.264410336,7.603678649,0.627340539,41.2,295.0625045,27.09046093,96.59067032,2.124279881,10.76604297,360.6483446,49.45352807,0
